其他地区,#genre#
無綫新聞台,http://tv.sason.xyz/proxy/tvb.php?id=xw
無綫財經資訊台,http://tv.sason.xyz/proxy/tvb.php?id=cj
翡翠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv&_res_tag_=video
明珠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=12
鳳凰衛視中文台,http://220.158.149.26:8182/hls/TV00000000000000000067@HHZT.m3u8
鳳凰衛視資訊台,http://220.158.149.26:8182/hls/TV00000000000000000066@HHZT.m3u8
鳳凰衛視香港台,http://220.158.149.26:8182/hls/TV00000000000000000068@HHZT.m3u8
鳳凰衛視電影台,rtmp://58.200.131.2:1935/livetv/fhdy
香港衛視HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
有綫新聞台,http://liveicm12.utvlive.top/live/97609933ef744f008e19a6e0d5ef9f2b/edd34677cc9548539d36b10c1c594b94-3.m3u8
有綫財經資訊台,http://liveicm12.utvlive.top/live/add598ff3f90428da3fbebb644ba135b/2bbaa83758ba412bbdd8d08626c56eb4-3.m3u8
有綫綜合娛樂台,http://liveicm12.utvlive.top/live/d4e03afe056a4f2da070d5f789f3ac9e/a5ed7598a90246199df373924de367d4-3.m3u8
RTHK31,https://www.rthk.hk/feeds/dtt/rthktv31_https.m3u8
RTHK32,https://www.rthk.hk/feeds/dtt/rthktv32_https.m3u8
香港開電視,https://cdn.hkdtmb.com/77a/playlist.m3u8

香港频道,#genre#
無綫新聞台,http://tv.sason.xyz/proxy/tvb.php?id=xw
無綫財經資訊台,http://tv.sason.xyz/proxy/tvb.php?id=cj
翡翠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv&_res_tag_=video
明珠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=12
鳳凰衛視中文台,http://220.158.149.26:8182/hls/TV00000000000000000067@HHZT.m3u8
鳳凰衛視資訊台,http://220.158.149.26:8182/hls/TV00000000000000000066@HHZT.m3u8
鳳凰衛視香港台,http://220.158.149.26:8182/hls/TV00000000000000000068@HHZT.m3u8
鳳凰衛視電影台,rtmp://58.200.131.2:1935/livetv/fhdy
香港衛視HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
有綫新聞台,http://liveicm12.utvlive.top/live/97609933ef744f008e19a6e0d5ef9f2b/edd34677cc9548539d36b10c1c594b94-3.m3u8
有綫財經資訊台,http://liveicm12.utvlive.top/live/add598ff3f90428da3fbebb644ba135b/2bbaa83758ba412bbdd8d08626c56eb4-3.m3u8
有綫綜合娛樂台,http://liveicm12.utvlive.top/live/d4e03afe056a4f2da070d5f789f3ac9e/a5ed7598a90246199df373924de367d4-3.m3u8
RTHK31,https://www.rthk.hk/feeds/dtt/rthktv31_https.m3u8
RTHK32,https://www.rthk.hk/feeds/dtt/rthktv32_https.m3u8
香港開電視,https://cdn.hkdtmb.com/77a/playlist.m3u8

